Algorithm,Number of cores,Number of processes,Total Time,CPU Utilization,Throughput,Average Turn Around Time,Average Wait Time,Average Response Time Time
cpu_heavy_srtf,2,1000,15344,100.0%,0.0652,8128.26,8076.18,2529.64
cpu_heavy_srtf,4,10,92,98.9%,0.1087,49.70,11.90,3.10
cpu_heavy_srtf,4,100,764,99.9%,0.1309,426.00,371.84,127.74
cpu_heavy_srtf,4,500,3873,99.9%,0.1291,2088.83,1943.93,652.89
cpu_heavy_srtf,4,1000,7823,100.0%,0.1278,4178.80,3947.65,1358.93
cpu_heavy_srtf,8,10,80,96.2%,0.1250,49.70,0.70,0.60
cpu_heavy_srtf,8,100,585,99.8%,0.1709,398.66,45.43,31.33
cpu_heavy_srtf,8,500,2720,99.2%,0.1838,1752.16,272.20,190.79
cpu_heavy_srtf,8,1000,5491,99.2%,0.1821,3503.22,551.18,362.33
cpu_heavy_srtf,16,10,72,97.2%,0.1389,43.60,0.00,0.00
cpu_heavy_srtf,16,100,537,99.6%,0.1862,337.18,12.73,11.84
cpu_heavy_srtf,16,500,2782,98.9%,0.1797,1802.15,79.29,69.22
cpu_heavy_srtf,16,1000,5628,98.8%,0.1777,3722.12,174.45,146.22
cpu_heavy_srtf,24,10,81,97.5%,0.1235,50.50,0.00,0.00
cpu_heavy_srtf,24,100,588,99.1%,0.1701,391.51,6.53,6.25
cpu_heavy_srtf,24,500,2793,98.4%,0.1790,1847.76,41.97,38.31
cpu_heavy_srtf,24,1000,5541,98.3%,0.1805,3623.77,94.36,86.27
cpu_heavy_srtf,32,10,79,97.5%,0.1266,53.60,0.00,0.00
cpu_heavy_srtf,32,100,577,99.5%,0.1733,390.46,4.56,4.19
cpu_heavy_srtf,32,500,2760,97.8%,0.1812,1761.30,31.06,29.74
cpu_heavy_srtf,32,1000,5720,98.4%,0.1748,3816.88,66.41,63.28
cpu_heavy_srtf,48,10,66,98.5%,0.1515,31.60,0.00,0.00
cpu_heavy_srtf,48,100,578,99.8%,0.1730,388.04,2.08,2.01
cpu_heavy_srtf,48,500,2691,98.4%,0.1858,1706.35,18.90,18.17
cpu_heavy_srtf,48,1000,5545,98.3%,0.1803,3628.98,42.64,40.53
cpu_heavy_CFS,1,10,375,97.3%,0.0267,193.90,150.90,0.00
cpu_heavy_CFS,1,100,3193,99.8%,0.0313,1583.51,1545.88,0.00
cpu_heavy_CFS,1,500,15019,100.0%,0.0333,7413.70,7378.26,0.00
cpu_heavy_CFS,1,1000,30419,100.0%,0.0329,15241.73,15205.71,0.00
cpu_heavy_CFS,2,10,137,96.4%,0.0730,74.10,45.70,0.00
cpu_heavy_CFS,2,100,1566,99.9%,0.0639,832.90,795.54,0.00
cpu_heavy_CFS,2,500,7399,100.0%,0.0676,3703.47,3667.88,0.00
cpu_heavy_CFS,2,1000,15101,100.0%,0.0662,7587.13,7550.81,0.00
cpu_heavy_CFS,4,10,113,97.3%,0.0885,63.40,24.00,0.00
cpu_heavy_CFS,4,100,810,99.8%,0.1235,397.51,356.45,0.00
