Algorithm,Number of cores,Number of processes,Total Time,CPU Utilization,Throughput,Average Turn Around Time,Average Wait Time,Average Response Time Time
cpu_only_srtf,8,500,3852,100.0%,0.1298,1998.59,1937.30,838.14
cpu_only_srtf,8,1000,7748,100.0%,0.1291,3959.24,3897.44,1676.81
cpu_only_srtf,16,10,99,100.0%,0.1010,56.60,0.00,0.00
cpu_only_srtf,16,100,493,100.0%,0.2028,239.80,173.98,79.74
cpu_only_srtf,16,500,1954,100.0%,0.2559,995.39,934.37,370.32
cpu_only_srtf,16,1000,3945,100.0%,0.2535,1996.73,1934.48,849.70
cpu_only_srtf,24,10,120,100.0%,0.0833,54.10,0.00,0.00
cpu_only_srtf,24,100,329,100.0%,0.3040,151.64,87.99,44.22
cpu_only_srtf,24,500,1388,100.0%,0.3602,706.85,643.25,279.18
cpu_only_srtf,24,1000,2621,100.0%,0.3815,1347.63,1286.10,562.09
cpu_only_srtf,32,10,97,100.0%,0.1031,43.90,0.00,0.00
cpu_only_srtf,32,100,263,100.0%,0.3802,134.10,66.36,34.36
cpu_only_srtf,32,500,1057,100.0%,0.4730,519.54,455.96,201.66
cpu_only_srtf,32,1000,2005,100.0%,0.4988,1034.74,971.95,414.12
cpu_only_srtf,48,10,95,100.0%,0.1053,44.30,0.00,0.00
cpu_only_srtf,48,100,168,100.0%,0.5952,75.74,19.65,12.32
cpu_only_srtf,48,500,697,100.0%,0.7174,347.35,285.29,128.01
cpu_only_srtf,48,1000,1290,100.0%,0.7752,652.55,593.33,256.79
cpu_only_CFS,1,10,487,100.0%,0.0205,291.60,242.90,0.00
cpu_only_CFS,1,100,6884,100.0%,0.0145,3492.84,3424.00,0.00
cpu_only_CFS,1,500,30623,100.0%,0.0163,15301.25,15240.01,0.00
cpu_only_CFS,1,1000,61826,100.0%,0.0162,30522.92,30461.10,0.00
cpu_only_CFS,2,10,345,100.0%,0.0290,219.10,155.50,0.00
cpu_only_CFS,2,100,3108,100.0%,0.0322,1526.45,1464.90,0.00
cpu_only_CFS,2,500,15689,100.0%,0.0319,8005.07,7942.39,0.00
cpu_only_CFS,2,1000,31383,100.0%,0.0319,15794.98,15732.28,0.00
cpu_only_CFS,4,10,235,100.0%,0.0426,130.10,55.60,0.00
cpu_only_CFS,4,100,1537,100.0%,0.0651,759.99,699.71,0.00
cpu_only_CFS,4,500,7936,100.0%,0.0630,3891.09,3827.69,0.00
cpu_only_CFS,4,1000,15359,100.0%,0.0651,7614.84,7553.47,0.00
cpu_only_CFS,8,10,149,100.0%,0.0671,74.40,2.50,0.00
cpu_only_CFS,8,100,884,100.0%,0.1131,447.22,379.95,0.00
cpu_only_CFS,8,500,3971,100.0%,0.1259,1986.76,1923.67,0.00
cpu_only_CFS,8,1000,7724,100.0%,0.1295,3805.47,3744.17,0.00
cpu_only_CFS,16,10,134,100.0%,0.0746,78.20,0.00,0.00
cpu_only_CFS,16,100,411,100.0%,0.2433,209.15,150.10,0.00
cpu_only_CFS,16,500,2104,100.0%,0.2376,1058.74,993.11,0.00
cpu_only_CFS,16,1000,3821,100.0%,0.2617,1910.25,1849.77,0.00
cpu_only_CFS,24,10,130,100.0%,0.0769,77.60,0.00,0.00
cpu_only_CFS,24,100,353,100.0%,0.2833,155.93,92.52,0.00
cpu_only_CFS,24,500,1366,100.0%,0.3660,695.69,633.05,0.00
cpu_only_CFS,24,1000,2672,100.0%,0.3743,1319.71,1256.96,0.00
cpu_only_CFS,32,10,90,100.0%,0.1111,51.90,0.00,0.00
cpu_only_CFS,32,100,261,100.0%,0.3831,123.74,59.98,0.00
cpu_only_CFS,32,500,1069,100.0%,0.4677,507.09,444.52,0.00
cpu_only_CFS,32,1000,2058,100.0%,0.4859,1022.25,958.43,0.00
cpu_only_CFS,48,10,112,100.0%,0.0893,68.30,0.00,0.00
cpu_only_CFS,48,100,222,100.0%,0.4505,92.67,28.36,0.00
cpu_only_CFS,48,500,710,100.0%,0.7042,345.49,283.31,0.00
cpu_only_CFS,48,1000,1333,100.0%,0.7502,658.83,598.23,0.00
cpu_only_FPPQ,1,10,615,100.0%,0.0163,356.80,295.30,0.00
cpu_only_FPPQ,1,100,6062,100.0%,0.0165,2882.88,2822.26,0.00
cpu_only_FPPQ,1,500,32907,100.0%,0.0152,16445.51,16379.70,0.00
cpu_only_FPPQ,1,1000,63683,100.0%,0.0157,31458.41,31394.73,0.00
cpu_only_FPPQ,2,10,306,100.0%,0.0327,200.30,140.30,0.00
cpu_only_FPPQ,2,100,3217,100.0%,0.0311,1733.38,1669.24,0.00
cpu_only_FPPQ,2,500,14940,100.0%,0.0335,7255.22,7195.52,0.00
cpu_only_FPPQ,2,1000,30599,100.0%,0.0327,15164.75,15103.59,0.00
cpu_only_FPPQ,4,10,194,100.0%,0.0515,101.60,40.50,0.00
cpu_only_FPPQ,4,100,1572,100.0%,0.0636,786.54,724.22,0.00
cpu_only_FPPQ,4,500,7699,100.0%,0.0649,3913.55,3851.99,0.00
cpu_only_FPPQ,4,1000,15605,100.0%,0.0641,7859.42,7797.16,0.00
cpu_only_FPPQ,8,10,106,100.0%,0.0943,55.60,1.80,0.00
cpu_only_FPPQ,8,100,822,100.0%,0.1217,420.96,358.46,0.00
cpu_only_FPPQ,8,500,3792,100.0%,0.1319,1912.15,1852.10,0.00
cpu_only_FPPQ,8,1000,7849,100.0%,0.1274,3898.12,3835.47,0.00
cpu_only_FPPQ,16,10,136,100.0%,0.0735,67.70,0.00,0.00
cpu_only_FPPQ,16,100,467,100.0%,0.2141,229.22,165.07,0.00
cpu_only_FPPQ,16,500,2061,100.0%,0.2426,1028.56,963.67,0.00
cpu_only_FPPQ,16,1000,3893,100.0%,0.2569,1958.76,1897.84,0.00
cpu_only_FPPQ,24,10,122,100.0%,0.0820,56.40,0.00,0.00
cpu_only_FPPQ,24,100,303,100.0%,0.3300,133.44,77.01,0.00
cpu_only_FPPQ,24,500,1390,100.0%,0.3597,683.48,620.70,0.00
cpu_only_FPPQ,24,1000,2630,100.0%,0.3802,1304.66,1243.17,0.00
cpu_only_FPPQ,32,10,145,100.0%,0.0690,85.60,0.00,0.00
cpu_only_FPPQ,32,100,259,100.0%,0.3861,116.22,57.42,0.00
cpu_only_FPPQ,32,500,1052,100.0%,0.4753,516.65,453.80,0.00
cpu_only_FPPQ,32,1000,2012,100.0%,0.4970,988.76,926.62,0.00
cpu_only_FPPQ,48,10,109,100.0%,0.0917,80.00,0.00,0.00
cpu_only_FPPQ,48,100,200,100.0%,0.5000,82.52,26.73,0.00
cpu_only_FPPQ,48,500,724,100.0%,0.6906,342.80,281.03,0.00
cpu_only_FPPQ,48,1000,1362,100.0%,0.7342,682.53,620.15,0.00
