Algorithm,Number of cores,Number of processes,Total Time,CPU Utilization,Throughput,Average Turn Around Time,Average Wait Time,Average Response Time Time
balanced_srtf,8,1000,16749,84.7%,0.0597,10928.99,304.60,278.41
balanced_srtf,16,10,155,80.6%,0.0645,77.80,0.00,0.00
balanced_srtf,16,100,1512,87.5%,0.0661,954.79,10.78,10.57
balanced_srtf,16,500,8464,85.0%,0.0591,5689.28,64.72,62.57
balanced_srtf,16,1000,16940,85.6%,0.0590,11176.18,133.82,128.38
balanced_srtf,24,10,152,80.9%,0.0658,92.60,0.00,0.00
balanced_srtf,24,100,1527,86.2%,0.0655,990.48,5.72,5.58
balanced_srtf,24,500,8252,85.6%,0.0606,5430.66,39.86,39.07
balanced_srtf,24,1000,16615,85.5%,0.0602,10731.43,82.41,80.06
balanced_srtf,32,10,158,82.9%,0.0633,110.20,0.00,0.00
balanced_srtf,32,100,1808,83.9%,0.0553,1187.60,3.62,3.55
balanced_srtf,32,500,8647,84.5%,0.0578,5704.81,27.82,27.31
balanced_srtf,32,1000,16184,85.8%,0.0618,10456.29,60.04,59.20
balanced_srtf,48,10,176,84.7%,0.0568,116.60,0.00,0.00
balanced_srtf,48,100,1772,84.9%,0.0564,1208.74,1.90,1.88
balanced_srtf,48,500,8294,84.7%,0.0603,5454.40,17.95,17.70
balanced_srtf,48,1000,16655,85.5%,0.0600,10750.20,40.07,39.67
